,artist,date,song
0,Drake,2018-08-04,In My Feelings
1,"Cardi B, Bad Bunny & J Balvin",2018-08-04,I Like It
2,Maroon 5 Featuring Cardi B,2018-08-04,Girls Like You
3,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-08-04,FeFe
4,Post Malone,2018-08-04,Better Now
5,Drake,2018-08-04,Nice For What
6,Ella Mai,2018-08-04,Boo'd Up
7,Juice WRLD,2018-08-04,Lucid Dreams
8,Post Malone Featuring Ty Dolla $ign,2018-08-04,Psycho
9,Tyga Featuring Offset,2018-08-04,Taste
10,Ariana Grande,2018-08-04,No Tears Left To Cry
11,Taylor Swift,2018-08-04,Delicate
12,Drake,2018-08-04,God's Plan
13,Lil Baby & Drake,2018-08-04,Yes Indeed
14,"Zedd, Maren Morris & Grey",2018-08-04,The Middle
15,Marshmello & Anne-Marie,2018-08-04,Friends
16,Ed Sheeran,2018-08-04,Perfect
17,Khalid & Normani,2018-08-04,Love Lies
18,XXXTENTACION,2018-08-04,Sad!
19,Bebe Rexha & Florida Georgia Line,2018-08-04,Meant To Be
20,Ariana Grande,2018-08-04,God Is A Woman
21,Bazzi,2018-08-04,Mine
22,Shawn Mendes,2018-08-04,In My Blood
23,Dan + Shay,2018-08-04,Tequila
24,5 Seconds Of Summer,2018-08-04,Youngblood
25,Selena Gomez,2018-08-04,Back To You
26,Calvin Harris & Dua Lipa,2018-08-04,One Kiss
27,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-04,Big Bank
28,Drake,2018-08-04,Nonstop
29,The Carters,2018-08-04,Apes**t
30,Lauv,2018-08-04,I Like Me Better
31,Camila Cabello,2018-08-04,Never Be The Same
32,Brett Young,2018-08-04,Mercy
33,Imagine Dragons,2018-08-04,Whatever It Takes
34,Kenny Chesney,2018-08-04,Get Along
35,Florida Georgia Line,2018-08-04,Simple
36,Imagine Dragons,2018-08-04,Natural
37,Drake,2018-08-04,I'm Upset
38,XXXTENTACION,2018-08-04,Moonlight
39,BlocBoy JB Featuring Drake,2018-08-04,Look Alive
40,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-08-04,Te Bote
41,Jason Aldean Featuring Miranda Lambert,2018-08-04,Drowns The Whiskey
42,Jake Owen,2018-08-04,I Was Jack (You Were Diane)
43,Foster The People,2018-08-04,Sit Next To Me
44,Childish Gambino,2018-08-04,This Is America
45,Cardi B,2018-08-04,Be Careful
46,Nicky Jam x J Balvin,2018-08-04,X
47,Luke Combs,2018-08-04,One Number Away
48,Thomas Rhett,2018-08-04,Life Changes
49,Keith Urban Featuring Julia Michaels,2018-08-04,Coming Home
50,XXXTENTACION,2018-08-04,Changes
51,"Benny Blanco, Halsey & Khalid",2018-08-04,Eastside
52,Drake,2018-08-04,Mob Ties
53,Drake Featuring Michael Jackson,2018-08-04,Don't Matter To Me
54,Nicki Minaj Featuring Ariana Grande,2018-08-04,Bed
55,Demi Lovato,2018-08-04,Sober
56,Chris Lane Featuring Tori Kelly,2018-08-04,Take Back Home Girl
57,Juice WRLD,2018-08-04,All Girls Are The Same
58,Luke Bryan,2018-08-04,"Sunrise, Sunburn, Sunset"
59,Chance The Rapper,2018-08-04,I Might Need Security
60,Clean Bandit Featuring Demi Lovato,2018-08-04,Solo
61,Tiesto & Dzeko Featuring Preme & Post Malone,2018-08-04,Jackie Chan
62,Old Dominion,2018-08-04,Hotel Key
63,Bebe Rexha,2018-08-04,I'm A Mess
64,Queen Naija,2018-08-04,Medicine
65,Alessia Cara,2018-08-04,Growing Pains
66,Juice WRLD Featuring Lil Uzi Vert,2018-08-04,Wasted
67,Backstreet Boys,2018-08-04,Don't Go Breaking My Heart
68,Childish Gambino,2018-08-04,Summertime Magic
69,Morgan Wallen Featuring Florida Georgia Line,2018-08-04,Up Down
70,Morgan Evans,2018-08-04,Kiss Somebody
71,Becky G + Natti Natasha,2018-08-04,Sin Pijama
72,Lil Dicky Featuring Chris Brown,2018-08-04,Freaky Friday
73,Lauren Daigle,2018-08-04,You Say
74,lovelytheband,2018-08-04,Broken
75,Dylan Scott,2018-08-04,Hooked
76,Ciara,2018-08-04,Level Up
77,TK Kravitz Featuring Jacqueez,2018-08-04,Ocean
78,Kygo Featuring Miguel,2018-08-04,Remind Me To Forget
79,"Khalid, Ty Dolla $ign & 6LACK",2018-08-04,OTW
80,Daniel Caesar Featuring H.E.R.,2018-08-04,Best Part
81,G-Eazy Featuring Yo Gotti & YBN Nahmir,2018-08-04,1942
82,Post Malone Featuring Nicki Minaj,2018-08-04,Ball For Me
83,Carrie Underwood,2018-08-04,Cry Pretty
84,Martin Garrix Featuring Khalid,2018-08-04,Ocean
85,Weezer,2018-08-04,Africa
86,Cole Swindell,2018-08-04,Break Up In The End
87,twenty one pilots,2018-08-04,Jumpsuit
88,The Weeknd,2018-08-04,Call Out My Name
89,Dennis Lloyd,2018-08-04,Nevermind
90,Kanye West,2018-08-04,All Mine
91,Migos,2018-08-04,Narcos
92,Billie Eilish,2018-08-04,You Should See Me In A Crown
93,Eric Church,2018-08-04,Desperate Man
94,Wiz Khalifa Featuring Swae Lee,2018-08-04,Hopeless Romantic
95,A$AP Rocky Featuring Skepta,2018-08-04,Praise The Lord (Da Shine)
96,NF,2018-08-04,Lie
97,Kane Brown,2018-08-04,Lose It
98,Drake,2018-08-04,Emotionless
99,Drake,2018-08-04,Can't Take A Joke
100,"Cardi B, Bad Bunny & J Balvin",2018-07-07,I Like It
101,XXXTENTACION,2018-07-07,Sad!
102,Juice WRLD,2018-07-07,Lucid Dreams
103,Maroon 5 Featuring Cardi B,2018-07-07,Girls Like You
104,Post Malone Featuring Ty Dolla $ign,2018-07-07,Psycho
105,Drake,2018-07-07,Nice For What
106,Ella Mai,2018-07-07,Boo'd Up
107,Ariana Grande,2018-07-07,No Tears Left To Cry
108,Drake,2018-07-07,God's Plan
109,Bebe Rexha & Florida Georgia Line,2018-07-07,Meant To Be
110,Lil Baby & Drake,2018-07-07,Yes Indeed
111,"Zedd, Maren Morris & Grey",2018-07-07,The Middle
112,XXXTENTACION,2018-07-07,Moonlight
113,Post Malone,2018-07-07,Better Now
114,Rich The Kid,2018-07-07,Plug Walk
115,Bazzi,2018-07-07,Mine
116,Ed Sheeran,2018-07-07,Perfect
117,XXXTENTACION,2018-07-07,Changes
118,The Carters,2018-07-07,Apes**t
119,Taylor Swift,2018-07-07,Delicate
120,Dan + Shay,2018-07-07,Tequila
121,Marshmello & Anne-Marie,2018-07-07,Friends
122,Shawn Mendes,2018-07-07,In My Blood
123,Childish Gambino,2018-07-07,This Is America
124,XXXTENTACION,2018-07-07,Jocelyn Flores
125,Drake,2018-07-07,I'm Upset
126,BlocBoy JB Featuring Drake,2018-07-07,Look Alive
127,Camila Cabello,2018-07-07,Never Be The Same
128,Migos Featuring Drake,2018-07-07,Walk It Talk It
129,Tyga Featuring Offset,2018-07-07,Taste
130,Imagine Dragons,2018-07-07,Whatever It Takes
131,Cardi B,2018-07-07,Be Careful
132,Post Malone Featuring 21 Savage,2018-07-07,Rockstar
133,XXXTENTACION Featuring Trippie Redd,2018-07-07,F**k Love
134,Selena Gomez,2018-07-07,Back To You
135,Calvin Harris & Dua Lipa,2018-07-07,One Kiss
136,Khalid & Normani,2018-07-07,Love Lies
137,Kane Brown,2018-07-07,Heaven
138,Camila Cabello Featuring Young Thug,2018-07-07,Havana
139,Dua Lipa,2018-07-07,New Rules
140,Lauv,2018-07-07,I Like Me Better
141,Juice WRLD,2018-07-07,All Girls Are The Same
142,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-07-07,Te Bote
143,Kenny Chesney,2018-07-07,Get Along
144,Florida Georgia Line,2018-07-07,Simple
145,XXXTENTACION,2018-07-07,Everybody Dies In Their Nightmares
146,Lil Dicky Featuring Chris Brown,2018-07-07,Freaky Friday
147,Brett Young,2018-07-07,Mercy
148,Luke Combs,2018-07-07,One Number Away
149,Maroon 5,2018-07-07,Wait
150,Foster The People,2018-07-07,Sit Next To Me
151,5 Seconds Of Summer,2018-07-07,Youngblood
152,Morgan Wallen Featuring Florida Georgia Line,2018-07-07,Up Down
153,Kanye West,2018-07-07,All Mine
154,XXXTENTACION,2018-07-07,The Remedy For A Broke Heart (Why Am I So In Love)
155,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-07-07,Big Bank
156,Daddy Yankee,2018-07-07,Dura
157,Demi Lovato,2018-07-07,Sober
158,Post Malone Featuring Nicki Minaj,2018-07-07,Ball For Me
159,"2 Chainz, Drake & Quavo",2018-07-07,Bigger > You
160,Panic! At The Disco,2018-07-07,Say Amen (Saturday Night)
161,Nicki Minaj,2018-07-07,Chun-Li
162,Famous Dex,2018-07-07,Japan
163,Nicky Jam x J Balvin,2018-07-07,X
164,Juice WRLD,2018-07-07,Legends
165,David Lee Murphy & Kenny Chesney,2018-07-07,Everything's Gonna Be Alright
166,Nicki Minaj Featuring Ariana Grande,2018-07-07,Bed
167,J. Cole,2018-07-07,KOD
168,Halsey Featuring Big Sean & Stefflon Don,2018-07-07,Alone
169,XXXTENTACION,2018-07-07,Hope
170,Lil Pump,2018-07-07,Esskeetit
171,6ix9ine Featuring DJ SPINKING,2018-07-07,TATI
172,Jason Aldean Featuring Miranda Lambert,2018-07-07,Drowns The Whiskey
173,Charlie Puth Featuring Kehlani,2018-07-07,Done For Me
174,Jake Owen,2018-07-07,I Was Jack (You Were Diane)
175,BTS,2018-07-07,Fake Love
176,Kanye West,2018-07-07,Yikes
177,The Weeknd,2018-07-07,Call Out My Name
178,Lil Skies Featuring Yung Pinch,2018-07-07,I Know You
179,XXXTENTACION,2018-07-07,Numb
180,Queen Naija,2018-07-07,Medicine
181,A$AP Rocky Featuring Skepta,2018-07-07,Praise The Lord (Da Shine)
182,Becky G + Natti Natasha,2018-07-07,Sin Pijama
183,Panic! At The Disco,2018-07-07,High Hopes
184,Blake Shelton,2018-07-07,I Lived It
185,Rae Sremmurd & Juicy J,2018-07-07,Powerglide
186,Billie Eilish & Khalid,2018-07-07,Lovely
187,Keith Urban Featuring Julia Michaels,2018-07-07,Coming Home
188,Lil Baby Featuring Gunna & Lil Uzi Vert,2018-07-07,Life Goes On
189,Bad Wolves,2018-07-07,Zombie
190,YoungBoy Never Broke Again,2018-07-07,Overdose
191,Thomas Rhett,2018-07-07,Life Changes
192,Dierks Bentley,2018-07-07,"Woman, Amen"
193,Kygo & Imagine Dragons,2018-07-07,Born To Be Yours
194,Ariana Grande Featuring Nicki Minaj,2018-07-07,The Light Is Coming
195,"Khalid, Ty Dolla $ign & 6LACK",2018-07-07,OTW
196,Clean Bandit Featuring Demi Lovato,2018-07-07,Solo
197,Chris Lane Featuring Tori Kelly,2018-07-07,Take Back Home Girl
198,The Carters,2018-07-07,Boss
199,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-07-07,Sativa
200,Drake,2018-06-02,Nice For What
201,Childish Gambino,2018-06-02,This Is America
202,Drake,2018-06-02,God's Plan
203,Post Malone Featuring Ty Dolla $ign,2018-06-02,Psycho
204,"Zedd, Maren Morris & Grey",2018-06-02,The Middle
205,Lil Baby & Drake,2018-06-02,Yes Indeed
206,Bebe Rexha & Florida Georgia Line,2018-06-02,Meant To Be
207,Ella Mai,2018-06-02,Boo'd Up
208,Ariana Grande,2018-06-02,No Tears Left To Cry
209,BTS,2018-06-02,Fake Love
210,Marshmello & Anne-Marie,2018-06-02,Friends
211,BlocBoy JB Featuring Drake,2018-06-02,Look Alive
212,Camila Cabello,2018-06-02,Never Be The Same
213,Migos Featuring Drake,2018-06-02,Walk It Talk It
214,Ed Sheeran,2018-06-02,Perfect
215,Cardi B,2018-06-02,Be Careful
216,Imagine Dragons,2018-06-02,Whatever It Takes
217,Bazzi,2018-06-02,Mine
218,"Cardi B, Bad Bunny & J Balvin",2018-06-02,I Like It
219,Shawn Mendes,2018-06-02,In My Blood
220,Kane Brown,2018-06-02,Heaven
221,Lil Dicky Featuring Chris Brown,2018-06-02,Freaky Friday
222,Post Malone Featuring 21 Savage,2018-06-02,Rockstar
223,Camila Cabello Featuring Young Thug,2018-06-02,Havana
224,The Weeknd & Kendrick Lamar,2018-06-02,Pray For Me
225,Rich The Kid,2018-06-02,Plug Walk
226,Maroon 5,2018-06-02,Wait
227,Nicki Minaj,2018-06-02,Chun-Li
228,Post Malone,2018-06-02,Better Now
229,The Weeknd,2018-06-02,Call Out My Name
230,Dua Lipa,2018-06-02,New Rules
231,XXXTENTACION,2018-06-02,Sad!
232,Kendrick Lamar & SZA,2018-06-02,All The Stars
233,Taylor Swift,2018-06-02,Delicate
234,Juice WRLD,2018-06-02,Lucid Dreams
235,Khalid & Normani,2018-06-02,Love Lies
236,Bruno Mars & Cardi B,2018-06-02,Finesse
237,Luke Combs,2018-06-02,One Number Away
