"","X1","artist","date","song","clean_artist"
"1",0,"Drake",2018-08-04,"In My Feelings","Drake"
"2",1,"Cardi B, Bad Bunny & J Balvin",2018-08-04,"I Like It","Cardi B"
"3",2,"Maroon 5 Featuring Cardi B",2018-08-04,"Girls Like You","Maroon 5"
"4",3,"6ix9ine Featuring Nicki Minaj & Murda Beatz",2018-08-04,"FeFe","6ix9ine"
"5",4,"Post Malone",2018-08-04,"Better Now","Post Malone"
"6",5,"Drake",2018-08-04,"Nice For What","Drake"
"7",6,"Ella Mai",2018-08-04,"Boo'd Up","Ella Mai"
"8",7,"Juice WRLD",2018-08-04,"Lucid Dreams","Juice WRLD"
"9",8,"Post Malone Featuring Ty Dolla $ign",2018-08-04,"Psycho","Post Malone"
"10",9,"Tyga Featuring Offset",2018-08-04,"Taste","Tyga"
"11",10,"Ariana Grande",2018-08-04,"No Tears Left To Cry","Ariana Grande"
"12",11,"Taylor Swift",2018-08-04,"Delicate","Taylor Swift"
"13",12,"Drake",2018-08-04,"God's Plan","Drake"
"14",13,"Lil Baby & Drake",2018-08-04,"Yes Indeed","Lil Baby"
"15",14,"Zedd, Maren Morris & Grey",2018-08-04,"The Middle","Zedd"
"16",15,"Marshmello & Anne-Marie",2018-08-04,"Friends","Marshmello"
"17",16,"Ed Sheeran",2018-08-04,"Perfect","Ed Sheeran"
"18",17,"Khalid & Normani",2018-08-04,"Love Lies","Khalid"
"19",18,"XXXTENTACION",2018-08-04,"Sad!","XXXTENTACION"
"20",19,"Bebe Rexha & Florida Georgia Line",2018-08-04,"Meant To Be","Bebe Rexha"
"21",20,"Ariana Grande",2018-08-04,"God Is A Woman","Ariana Grande"
"22",21,"Bazzi",2018-08-04,"Mine","Bazzi"
"23",22,"Shawn Mendes",2018-08-04,"In My Blood","Shawn Mendes"
"24",23,"Dan + Shay",2018-08-04,"Tequila","Dan + Shay"
"25",24,"5 Seconds Of Summer",2018-08-04,"Youngblood","5 Seconds Of Summer"
"26",25,"Selena Gomez",2018-08-04,"Back To You","Selena Gomez"
"27",26,"Calvin Harris & Dua Lipa",2018-08-04,"One Kiss","Calvin Harris"
"28",27,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-04,"Big Bank","YG"
"29",28,"Drake",2018-08-04,"Nonstop","Drake"
"30",29,"The Carters",2018-08-04,"Apes**t","The Carters"
"31",30,"Lauv",2018-08-04,"I Like Me Better","Lauv"
"32",31,"Camila Cabello",2018-08-04,"Never Be The Same","Camila Cabello"
"33",32,"Brett Young",2018-08-04,"Mercy","Brett Young"
"34",33,"Imagine Dragons",2018-08-04,"Whatever It Takes","Imagine Dragons"
"35",34,"Kenny Chesney",2018-08-04,"Get Along","Kenny Chesney"
"36",35,"Florida Georgia Line",2018-08-04,"Simple","Florida Georgia Line"
"37",36,"Imagine Dragons",2018-08-04,"Natural","Imagine Dragons"
"38",37,"Drake",2018-08-04,"I'm Upset","Drake"
"39",38,"XXXTENTACION",2018-08-04,"Moonlight","XXXTENTACION"
"40",39,"BlocBoy JB Featuring Drake",2018-08-04,"Look Alive","BlocBoy JB"
"41",40,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-08-04,"Te Bote","Casper Magico"
"42",41,"Jason Aldean Featuring Miranda Lambert",2018-08-04,"Drowns The Whiskey","Jason Aldean"
"43",42,"Jake Owen",2018-08-04,"I Was Jack (You Were Diane)","Jake Owen"
"44",43,"Foster The People",2018-08-04,"Sit Next To Me","Foster The People"
"45",44,"Childish Gambino",2018-08-04,"This Is America","Childish Gambino"
"46",45,"Cardi B",2018-08-04,"Be Careful","Cardi B"
"47",46,"Nicky Jam x J Balvin",2018-08-04,"X","Nicky Jam x J Balvin"
"48",47,"Luke Combs",2018-08-04,"One Number Away",NA
"49",48,"Thomas Rhett",2018-08-04,"Life Changes",NA
"50",49,"Keith Urban Featuring Julia Michaels",2018-08-04,"Coming Home",NA
"51",50,"XXXTENTACION",2018-08-04,"Changes",NA
"52",51,"Benny Blanco, Halsey & Khalid",2018-08-04,"Eastside",NA
"53",52,"Drake",2018-08-04,"Mob Ties",NA
"54",53,"Drake Featuring Michael Jackson",2018-08-04,"Don't Matter To Me",NA
"55",54,"Nicki Minaj Featuring Ariana Grande",2018-08-04,"Bed",NA
"56",55,"Demi Lovato",2018-08-04,"Sober",NA
"57",56,"Chris Lane Featuring Tori Kelly",2018-08-04,"Take Back Home Girl",NA
"58",57,"Juice WRLD",2018-08-04,"All Girls Are The Same",NA
"59",58,"Luke Bryan",2018-08-04,"Sunrise, Sunburn, Sunset",NA
"60",59,"Chance The Rapper",2018-08-04,"I Might Need Security",NA
"61",60,"Clean Bandit Featuring Demi Lovato",2018-08-04,"Solo",NA
"62",61,"Tiesto & Dzeko Featuring Preme & Post Malone",2018-08-04,"Jackie Chan",NA
"63",62,"Old Dominion",2018-08-04,"Hotel Key",NA
"64",63,"Bebe Rexha",2018-08-04,"I'm A Mess",NA
"65",64,"Queen Naija",2018-08-04,"Medicine",NA
"66",65,"Alessia Cara",2018-08-04,"Growing Pains",NA
"67",66,"Juice WRLD Featuring Lil Uzi Vert",2018-08-04,"Wasted",NA
"68",67,"Backstreet Boys",2018-08-04,"Don't Go Breaking My Heart",NA
"69",68,"Childish Gambino",2018-08-04,"Summertime Magic",NA
"70",69,"Morgan Wallen Featuring Florida Georgia Line",2018-08-04,"Up Down",NA
"71",70,"Morgan Evans",2018-08-04,"Kiss Somebody",NA
"72",71,"Becky G + Natti Natasha",2018-08-04,"Sin Pijama",NA
"73",72,"Lil Dicky Featuring Chris Brown",2018-08-04,"Freaky Friday",NA
"74",73,"Lauren Daigle",2018-08-04,"You Say",NA
"75",74,"lovelytheband",2018-08-04,"Broken",NA
"76",75,"Dylan Scott",2018-08-04,"Hooked",NA
"77",76,"Ciara",2018-08-04,"Level Up",NA
"78",77,"TK Kravitz Featuring Jacqueez",2018-08-04,"Ocean",NA
"79",78,"Kygo Featuring Miguel",2018-08-04,"Remind Me To Forget",NA
"80",79,"Khalid, Ty Dolla $ign & 6LACK",2018-08-04,"OTW",NA
"81",80,"Daniel Caesar Featuring H.E.R.",2018-08-04,"Best Part",NA
"82",81,"G-Eazy Featuring Yo Gotti & YBN Nahmir",2018-08-04,"1942",NA
"83",82,"Post Malone Featuring Nicki Minaj",2018-08-04,"Ball For Me",NA
"84",83,"Carrie Underwood",2018-08-04,"Cry Pretty",NA
"85",84,"Martin Garrix Featuring Khalid",2018-08-04,"Ocean",NA
"86",85,"Weezer",2018-08-04,"Africa",NA
"87",86,"Cole Swindell",2018-08-04,"Break Up In The End",NA
"88",87,"twenty one pilots",2018-08-04,"Jumpsuit",NA
"89",88,"The Weeknd",2018-08-04,"Call Out My Name",NA
"90",89,"Dennis Lloyd",2018-08-04,"Nevermind",NA
"91",90,"Kanye West",2018-08-04,"All Mine",NA
"92",91,"Migos",2018-08-04,"Narcos",NA
"93",92,"Billie Eilish",2018-08-04,"You Should See Me In A Crown",NA
"94",93,"Eric Church",2018-08-04,"Desperate Man",NA
"95",94,"Wiz Khalifa Featuring Swae Lee",2018-08-04,"Hopeless Romantic",NA
"96",95,"A$AP Rocky Featuring Skepta",2018-08-04,"Praise The Lord (Da Shine)",NA
"97",96,"NF",2018-08-04,"Lie",NA
"98",97,"Kane Brown",2018-08-04,"Lose It",NA
"99",98,"Drake",2018-08-04,"Emotionless",NA
"100",99,"Drake",2018-08-04,"Can't Take A Joke",NA
"101",100,"Cardi B, Bad Bunny & J Balvin",2018-07-07,"I Like It",NA
"102",101,"XXXTENTACION",2018-07-07,"Sad!",NA
"103",102,"Juice WRLD",2018-07-07,"Lucid Dreams",NA
"104",103,"Maroon 5 Featuring Cardi B",2018-07-07,"Girls Like You",NA
"105",104,"Post Malone Featuring Ty Dolla $ign",2018-07-07,"Psycho",NA
"106",105,"Drake",2018-07-07,"Nice For What",NA
"107",106,"Ella Mai",2018-07-07,"Boo'd Up",NA
"108",107,"Ariana Grande",2018-07-07,"No Tears Left To Cry",NA
"109",108,"Drake",2018-07-07,"God's Plan",NA
"110",109,"Bebe Rexha & Florida Georgia Line",2018-07-07,"Meant To Be",NA
"111",110,"Lil Baby & Drake",2018-07-07,"Yes Indeed",NA
"112",111,"Zedd, Maren Morris & Grey",2018-07-07,"The Middle",NA
"113",112,"XXXTENTACION",2018-07-07,"Moonlight",NA
"114",113,"Post Malone",2018-07-07,"Better Now",NA
"115",114,"Rich The Kid",2018-07-07,"Plug Walk",NA
"116",115,"Bazzi",2018-07-07,"Mine",NA
"117",116,"Ed Sheeran",2018-07-07,"Perfect",NA
"118",117,"XXXTENTACION",2018-07-07,"Changes",NA
"119",118,"The Carters",2018-07-07,"Apes**t",NA
"120",119,"Taylor Swift",2018-07-07,"Delicate",NA
"121",120,"Dan + Shay",2018-07-07,"Tequila",NA
"122",121,"Marshmello & Anne-Marie",2018-07-07,"Friends",NA
"123",122,"Shawn Mendes",2018-07-07,"In My Blood",NA
"124",123,"Childish Gambino",2018-07-07,"This Is America",NA
"125",124,"XXXTENTACION",2018-07-07,"Jocelyn Flores",NA
"126",125,"Drake",2018-07-07,"I'm Upset",NA
"127",126,"BlocBoy JB Featuring Drake",2018-07-07,"Look Alive",NA
"128",127,"Camila Cabello",2018-07-07,"Never Be The Same",NA
"129",128,"Migos Featuring Drake",2018-07-07,"Walk It Talk It",NA
"130",129,"Tyga Featuring Offset",2018-07-07,"Taste",NA
"131",130,"Imagine Dragons",2018-07-07,"Whatever It Takes",NA
"132",131,"Cardi B",2018-07-07,"Be Careful",NA
"133",132,"Post Malone Featuring 21 Savage",2018-07-07,"Rockstar",NA
"134",133,"XXXTENTACION Featuring Trippie Redd",2018-07-07,"F**k Love",NA
"135",134,"Selena Gomez",2018-07-07,"Back To You",NA
"136",135,"Calvin Harris & Dua Lipa",2018-07-07,"One Kiss",NA
"137",136,"Khalid & Normani",2018-07-07,"Love Lies",NA
"138",137,"Kane Brown",2018-07-07,"Heaven",NA
"139",138,"Camila Cabello Featuring Young Thug",2018-07-07,"Havana",NA
"140",139,"Dua Lipa",2018-07-07,"New Rules",NA
"141",140,"Lauv",2018-07-07,"I Like Me Better",NA
"142",141,"Juice WRLD",2018-07-07,"All Girls Are The Same",NA
"143",142,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-07-07,"Te Bote",NA
"144",143,"Kenny Chesney",2018-07-07,"Get Along",NA
"145",144,"Florida Georgia Line",2018-07-07,"Simple",NA
"146",145,"XXXTENTACION",2018-07-07,"Everybody Dies In Their Nightmares",NA
"147",146,"Lil Dicky Featuring Chris Brown",2018-07-07,"Freaky Friday",NA
"148",147,"Brett Young",2018-07-07,"Mercy",NA
"149",148,"Luke Combs",2018-07-07,"One Number Away",NA
"150",149,"Maroon 5",2018-07-07,"Wait",NA
"151",150,"Foster The People",2018-07-07,"Sit Next To Me",NA
"152",151,"5 Seconds Of Summer",2018-07-07,"Youngblood",NA
"153",152,"Morgan Wallen Featuring Florida Georgia Line",2018-07-07,"Up Down",NA
"154",153,"Kanye West",2018-07-07,"All Mine",NA
"155",154,"XXXTENTACION",2018-07-07,"The Remedy For A Broke Heart (Why Am I So In Love)",NA
"156",155,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-07-07,"Big Bank",NA
"157",156,"Daddy Yankee",2018-07-07,"Dura",NA
"158",157,"Demi Lovato",2018-07-07,"Sober",NA
"159",158,"Post Malone Featuring Nicki Minaj",2018-07-07,"Ball For Me",NA
"160",159,"2 Chainz, Drake & Quavo",2018-07-07,"Bigger > You",NA
"161",160,"Panic! At The Disco",2018-07-07,"Say Amen (Saturday Night)",NA
"162",161,"Nicki Minaj",2018-07-07,"Chun-Li",NA
"163",162,"Famous Dex",2018-07-07,"Japan",NA
"164",163,"Nicky Jam x J Balvin",2018-07-07,"X",NA
"165",164,"Juice WRLD",2018-07-07,"Legends",NA
"166",165,"David Lee Murphy & Kenny Chesney",2018-07-07,"Everything's Gonna Be Alright",NA
"167",166,"Nicki Minaj Featuring Ariana Grande",2018-07-07,"Bed",NA
"168",167,"J. Cole",2018-07-07,"KOD",NA
"169",168,"Halsey Featuring Big Sean & Stefflon Don",2018-07-07,"Alone",NA
"170",169,"XXXTENTACION",2018-07-07,"Hope",NA
"171",170,"Lil Pump",2018-07-07,"Esskeetit",NA
"172",171,"6ix9ine Featuring DJ SPINKING",2018-07-07,"TATI",NA
"173",172,"Jason Aldean Featuring Miranda Lambert",2018-07-07,"Drowns The Whiskey",NA
"174",173,"Charlie Puth Featuring Kehlani",2018-07-07,"Done For Me",NA
"175",174,"Jake Owen",2018-07-07,"I Was Jack (You Were Diane)",NA
"176",175,"BTS",2018-07-07,"Fake Love",NA
"177",176,"Kanye West",2018-07-07,"Yikes",NA
"178",177,"The Weeknd",2018-07-07,"Call Out My Name",NA
"179",178,"Lil Skies Featuring Yung Pinch",2018-07-07,"I Know You",NA
"180",179,"XXXTENTACION",2018-07-07,"Numb",NA
"181",180,"Queen Naija",2018-07-07,"Medicine",NA
"182",181,"A$AP Rocky Featuring Skepta",2018-07-07,"Praise The Lord (Da Shine)",NA
"183",182,"Becky G + Natti Natasha",2018-07-07,"Sin Pijama",NA
"184",183,"Panic! At The Disco",2018-07-07,"High Hopes",NA
"185",184,"Blake Shelton",2018-07-07,"I Lived It",NA
"186",185,"Rae Sremmurd & Juicy J",2018-07-07,"Powerglide",NA
"187",186,"Billie Eilish & Khalid",2018-07-07,"Lovely",NA
"188",187,"Keith Urban Featuring Julia Michaels",2018-07-07,"Coming Home",NA
"189",188,"Lil Baby Featuring Gunna & Lil Uzi Vert",2018-07-07,"Life Goes On",NA
"190",189,"Bad Wolves",2018-07-07,"Zombie",NA
"191",190,"YoungBoy Never Broke Again",2018-07-07,"Overdose",NA
"192",191,"Thomas Rhett",2018-07-07,"Life Changes",NA
"193",192,"Dierks Bentley",2018-07-07,"Woman, Amen",NA
"194",193,"Kygo & Imagine Dragons",2018-07-07,"Born To Be Yours",NA
"195",194,"Ariana Grande Featuring Nicki Minaj",2018-07-07,"The Light Is Coming",NA
"196",195,"Khalid, Ty Dolla $ign & 6LACK",2018-07-07,"OTW",NA
"197",196,"Clean Bandit Featuring Demi Lovato",2018-07-07,"Solo",NA
"198",197,"Chris Lane Featuring Tori Kelly",2018-07-07,"Take Back Home Girl",NA
"199",198,"The Carters",2018-07-07,"Boss",NA
"200",199,"Jhene Aiko Featuring Swae Lee Or Rae Sremmurd",2018-07-07,"Sativa",NA
"201",200,"Drake",2018-06-02,"Nice For What",NA
"202",201,"Childish Gambino",2018-06-02,"This Is America",NA
"203",202,"Drake",2018-06-02,"God's Plan",NA
"204",203,"Post Malone Featuring Ty Dolla $ign",2018-06-02,"Psycho",NA
"205",204,"Zedd, Maren Morris & Grey",2018-06-02,"The Middle",NA
"206",205,"Lil Baby & Drake",2018-06-02,"Yes Indeed",NA
"207",206,"Bebe Rexha & Florida Georgia Line",2018-06-02,"Meant To Be",NA
"208",207,"Ella Mai",2018-06-02,"Boo'd Up",NA
"209",208,"Ariana Grande",2018-06-02,"No Tears Left To Cry",NA
"210",209,"BTS",2018-06-02,"Fake Love",NA
"211",210,"Marshmello & Anne-Marie",2018-06-02,"Friends",NA
"212",211,"BlocBoy JB Featuring Drake",2018-06-02,"Look Alive",NA
"213",212,"Camila Cabello",2018-06-02,"Never Be The Same",NA
"214",213,"Migos Featuring Drake",2018-06-02,"Walk It Talk It",NA
"215",214,"Ed Sheeran",2018-06-02,"Perfect",NA
"216",215,"Cardi B",2018-06-02,"Be Careful",NA
"217",216,"Imagine Dragons",2018-06-02,"Whatever It Takes",NA
"218",217,"Bazzi",2018-06-02,"Mine",NA
"219",218,"Cardi B, Bad Bunny & J Balvin",2018-06-02,"I Like It",NA
"220",219,"Shawn Mendes",2018-06-02,"In My Blood",NA
"221",220,"Kane Brown",2018-06-02,"Heaven",NA
"222",221,"Lil Dicky Featuring Chris Brown",2018-06-02,"Freaky Friday",NA
"223",222,"Post Malone Featuring 21 Savage",2018-06-02,"Rockstar",NA
"224",223,"Camila Cabello Featuring Young Thug",2018-06-02,"Havana",NA
"225",224,"The Weeknd & Kendrick Lamar",2018-06-02,"Pray For Me",NA
"226",225,"Rich The Kid",2018-06-02,"Plug Walk",NA
"227",226,"Maroon 5",2018-06-02,"Wait",NA
"228",227,"Nicki Minaj",2018-06-02,"Chun-Li",NA
"229",228,"Post Malone",2018-06-02,"Better Now",NA
"230",229,"The Weeknd",2018-06-02,"Call Out My Name",NA
"231",230,"Dua Lipa",2018-06-02,"New Rules",NA
"232",231,"XXXTENTACION",2018-06-02,"Sad!",NA
"233",232,"Kendrick Lamar & SZA",2018-06-02,"All The Stars",NA
"234",233,"Taylor Swift",2018-06-02,"Delicate",NA
"235",234,"Juice WRLD",2018-06-02,"Lucid Dreams",NA
"236",235,"Khalid & Normani",2018-06-02,"Love Lies",NA
"237",236,"Bruno Mars & Cardi B",2018-06-02,"Finesse",NA
"238",237,"Luke Combs",2018-06-02,"One Number Away",NA
"239",238,"Jason Aldean",2018-06-02,"You Make It Easy",NA
"240",239,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-06-02,"Te Bote",NA
"241",240,"Rae Sremmurd & Juicy J",2018-06-02,"Powerglide",NA
"242",241,"YoungBoy Never Broke Again",2018-06-02,"Overdose",NA
"243",242,"Calvin Harris & Dua Lipa",2018-06-02,"One Kiss",NA
"244",243,"Dan + Shay",2018-06-02,"Tequila",NA
"245",244,"Offset & Metro Boomin",2018-06-02,"Ric Flair Drip",NA
"246",245,"Selena Gomez",2018-06-02,"Back To You",NA
"247",246,"Daddy Yankee",2018-06-02,"Dura",NA
