danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.738,0.466,G#,-9.433,major,0.137,0.00669,0.0102,0.449,0.401,181.992,2G7V7zsVDxg1yRsu7Ew9RJ,217933,4,G# major
0.816,0.726,F,-3.998,minor,0.129,0.099,0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390,4,F minor
0.611,0.462,C,-7.054,major,0.0646,0.558,1.01e-6,0.131,0.377,59.635,3p1vxaIG6BDLnhJvyy2NNJ,215230,4,C major
0.68,0.563,A#,-5.843,major,0.0454,0.354,0,0.136,0.374,145.028,7dt6x5M1jzdTEt8oCbisTK,231267,4,A# major
0.586,0.909,G#,-6.474,major,0.0705,0.0891,1.09e-4,0.119,0.757,93.394,3CA9pLiwRIGtUBiMjbZmRw,210747,4,G# major
0.511,0.566,F#,-7.23,minor,0.2,0.349,0,0.34,0.218,83.903,0s3nnoMeVWz3989MkNQiRf,239836,4,F# minor
0.75,0.404,A,-10.178,minor,0.0682,0.216,3.57e-4,0.0911,0.0499,95.045,6NFyWDv5CjfwuzoCkw47Xf,232253,4,A minor
0.754,0.449,G,-9.211,major,0.109,0.0332,8.29e-5,0.552,0.357,77.169,6DCZcSspjsKoFjzjrWoCdn,198973,4,G major
0.964,0.346,F,-9.309,minor,0.53,0.035,0,0.108,0.562,119.958,6vN77lE9LK6HP2DewaN6HZ,142273,4,F minor
0.599,0.448,G#,-6.312,major,0.0232,0.163,0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,3,G# major
0.71,0.789,E,-3.874,major,0.0722,0.0161,2.77e-6,0.451,0.717,142.929,7uzmGiiJyRfuViKKK3lVmR,131064,4,E major
0.618,0.711,F,-7.248,major,0.0706,0.0544,0,0.125,0.488,139.967,21YnmkSDhUkmkkni22Svc4,211360,4,F major
0.489,0.581,B,-5.731,major,0.0281,0.0312,0,0.132,0.494,86.016,42fw0rxRO2xbesF6mJfd4Y,196747,4,B major
0.596,0.854,G,-5.114,minor,0.463,0.0169,0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,203418,4,G minor
0.909,0.406,F#,-8.133,minor,0.138,0.0299,0.00868,0.103,0.468,154.992,0TlLq3lA83rQOYtrqBqSct,238613,4,F# minor
0.752,0.505,A,-7.621,major,0.253,0.535,2.55e-6,0.104,0.419,91.97,2P91MQbaiQOfbiz9VqhqKQ,197437,4,A major
0.638,0.367,E,-7.906,major,0.0266,0.84,0,0.0999,0.219,71.957,2VIPU72L6tIR4w8J8ap6Kp,217120,4,E major
0.672,0.655,A#,-5.021,minor,0.0311,0.0362,0,0.117,0.556,134.945,6Qn5zhYkTa37e91HC1D7lb,201240,4,A# minor
0.632,0.804,G,-6.109,major,0.0503,0.101,0,0.17,0.35,92.456,6n6OQfBpCgzF9oEg8zhBN7,199625,4,G major
0.899,0.586,B,-7.866,minor,0.344,0.279,0,0.0836,0.492,150.001,3qN5qMTKyEEmiTZD38BNTT,214467,4,B minor
0.921,0.537,A,-5.723,minor,0.0804,0.556,0.00404,0.102,0.711,128.009,0JP9xo3adEtGSdUEISiszL,135090,4,A minor
0.82,0.568,F#,-8.23,minor,0.411,0.0256,0,0.0952,0.535,152.279,2Yl4OmDby9iitgNWZPwxkd,210787,4,F# minor
0.544,0.781,F#,-6.16,minor,0.0311,0.00585,0,0.191,0.527,144.075,4gB7HrYHbJVJ5RFOjxmoq4,221800,4,F# minor
0.544,0.781,F#,-6.16,minor,0.0311,0.00585,0,0.191,0.527,144.075,7ElHqs46U65NOaSwha2eMv,221800,4,F# minor
0.687,0.842,G,-4.382,major,0.058,0.105,0,0.0436,0.778,87.968,4Vxu50qVrQcycjRyJQaZLC,190227,4,G major
0.383,0.703,E,-6.988,major,0.228,0.216,5.47e-6,0.131,0.57,88.502,4pWb8UZ6IPVJA3CPjCNgzq,213939,4,E major
0.755,0.575,E,-8.393,minor,0.0678,0.0456,0.00124,0.276,0.49,85.987,7rC5Pl8rQSX4myONQHYPBK,205147,4,E minor
0.671,0.529,C,-7.226,major,0.307,0.0769,3.35e-4,0.0856,0.203,161.989,0XySogm94T51XF5F2jumXm,165820,4,C major
0.472,0.884,A,-2.306,major,0.0584,0.185,0,0.178,0.718,159.96,53yTYusPQJ1AApL1hi0Dnc,216093,4,A major
0.758,0.867,B,-5.087,major,0.0475,0.152,0,0.308,0.964,102.018,33471tzU1VghDg9zNgGRpz,166573,4,B major
0.597,0.721,A,-6.422,major,0.0356,0.0362,0,0.0832,0.437,132.054,3DV49ruvI5Sl6iisPZAc2c,149293,4,A major
0.925,0.308,B,-6.562,minor,0.338,0.125,0,0.0933,0.265,122.099,3qnoOm4fwZPBS116f5hpgF,145507,4,B minor
0.936,0.588,G,-6.948,minor,0.136,0.0146,0,0.139,0.238,124.987,0wbnC9AUenxp613TYaJsGK,255379,4,G minor
0.85,0.569,F,-8.152,minor,0.136,0.0609,0.0816,0.1,0.294,80.02,7ycWLEP1GsNjVvcjawXz3z,205040,4,F minor
0.753,0.66,F,-6.542,major,0.133,0.161,0,0.236,0.182,95.003,07FkzikE6FuHIa8Ma7zJGc,209213,4,F major
0.413,0.677,C#,-5.12,major,0.255,0.0249,0,0.0793,0.0845,172.501,5Psnhdkyanjpgc2P8A5TSM,302173,4,C# major
0.816,0.726,F,-3.998,minor,0.129,0.099,0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390,4,F minor
0.511,0.566,F#,-7.23,minor,0.2,0.349,0,0.34,0.218,83.903,0s3nnoMeVWz3989MkNQiRf,239836,4,F# minor
0.611,0.462,C,-7.054,major,0.0646,0.558,1.01e-6,0.131,0.377,59.635,3p1vxaIG6BDLnhJvyy2NNJ,215230,4,C major
0.586,0.909,G#,-6.474,major,0.0705,0.0891,1.09e-4,0.119,0.757,93.394,3CA9pLiwRIGtUBiMjbZmRw,210747,4,G# major
0.754,0.449,G,-9.211,major,0.109,0.0332,8.29e-5,0.552,0.357,77.169,6DCZcSspjsKoFjzjrWoCdn,198973,4,G major
0.964,0.346,F,-9.309,minor,0.53,0.035,0,0.108,0.562,119.958,6vN77lE9LK6HP2DewaN6HZ,142273,4,F minor
0.921,0.537,A,-5.723,minor,0.0804,0.556,0.00404,0.102,0.711,128.009,0JP9xo3adEtGSdUEISiszL,135090,4,A minor
0.68,0.563,A#,-5.843,major,0.0454,0.354,0,0.136,0.374,145.028,7dt6x5M1jzdTEt8oCbisTK,231267,4,A# major
0.876,0.519,B,-6.531,major,0.143,0.202,0,0.108,0.158,94.981,1ZAyjvIk9YiD76yYy0TEG6,175230,4,B major
0.71,0.789,E,-3.874,major,0.0722,0.0161,2.77e-6,0.451,0.717,142.929,7uzmGiiJyRfuViKKK3lVmR,131064,4,E major
0.599,0.448,G#,-6.312,major,0.0232,0.163,0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,3,G# major
0.75,0.404,A,-10.178,minor,0.0682,0.216,3.57e-4,0.0911,0.0499,95.045,6NFyWDv5CjfwuzoCkw47Xf,232253,4,A minor
0.489,0.581,B,-5.731,major,0.0281,0.0312,0,0.132,0.494,86.016,42fw0rxRO2xbesF6mJfd4Y,196747,4,B major
0.618,0.711,F,-7.248,major,0.0706,0.0544,0,0.125,0.488,139.967,21YnmkSDhUkmkkni22Svc4,211360,4,F major
0.872,0.391,C,-9.144,minor,0.242,0.469,4.13e-6,0.297,0.437,134.021,7m9OqQk4RVRkw9JJdeAw96,119133,4,C minor
0.899,0.586,B,-7.866,minor,0.344,0.279,0,0.0836,0.492,150.001,3qN5qMTKyEEmiTZD38BNTT,214467,4,B minor
0.909,0.628,D,-5.456,major,0.201,0.0739,0,0.108,0.406,145.905,6n4U3TlzUGhdSFbUUhTvLP,276147,4,D major
0.672,0.655,A#,-5.021,minor,0.0311,0.0362,0,0.117,0.556,134.945,6Qn5zhYkTa37e91HC1D7lb,201240,4,A# minor
0.82,0.568,F#,-8.23,minor,0.411,0.0256,0,0.0952,0.535,152.279,2Yl4OmDby9iitgNWZPwxkd,210787,4,F# minor
0.765,0.523,D,-4.333,major,0.03,0.184,3.56e-5,0.132,0.394,104.988,1rfofaqEpACxVEHIZBJe6W,217307,4,D major
0.764,0.718,A,-5.18,minor,0.0703,0.00261,1.11e-5,0.113,0.596,116.01,1Y8tTuBW1YOFc6o2N9jLGM,212e3,4,A minor
0.752,0.505,A,-7.621,major,0.253,0.535,2.55e-6,0.104,0.419,91.97,2P91MQbaiQOfbiz9VqhqKQ,197437,4,A major
0.671,0.529,C,-7.226,major,0.307,0.0769,3.35e-4,0.0856,0.203,161.989,0XySogm94T51XF5F2jumXm,165820,4,C major
0.632,0.804,G,-6.109,major,0.0503,0.101,0,0.17,0.35,92.456,6n6OQfBpCgzF9oEg8zhBN7,199625,4,G major
0.734,0.57,G,-7.066,minor,0.133,0.847,2.14e-5,0.112,0.689,129.953,3GVkPk8mqxz0itaAriG1L7,95467,4,G minor
0.638,0.367,E,-7.906,major,0.0266,0.84,0,0.0999,0.219,71.957,2VIPU72L6tIR4w8J8ap6Kp,217120,4,E major
0.544,0.781,F#,-6.16,minor,0.0311,0.00585,0,0.191,0.527,144.075,4gB7HrYHbJVJ5RFOjxmoq4,221800,4,F# minor
0.544,0.781,F#,-6.16,minor,0.0311,0.00585,0,0.191,0.527,144.075,7ElHqs46U65NOaSwha2eMv,221800,4,F# minor
0.655,0.603,G#,-5.014,major,0.0555,0.0959,0,0.107,0.452,126.088,6ZvTAJHxse3tRAekHb2F7L,190643,4,G# major
0.596,0.854,G,-5.114,minor,0.463,0.0169,0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,203418,4,G minor
0.925,0.308,B,-6.562,minor,0.338,0.125,0,0.0933,0.265,122.099,3qnoOm4fwZPBS116f5hpgF,145507,4,B minor
0.491,0.867,F#,-2.313,minor,0.103,0.167,0,0.458,0.602,167.965,76vMKwFtdDDCLcM6zXybjB,189187,4,F# minor
0.764,0.587,F,-7.002,minor,0.0298,0.0721,6.45e-6,0.094,0.494,89.98,2NEBP8SXEqwZt2PRdPXXuy,229573,4,F minor
0.831,0.782,C,-6.274,major,0.15,0.21,0,0.113,0.199,141.869,7yotKA30dwTKNEGomV9ZsI,191437,4,C major
0.602,0.724,D,-3.469,minor,0.0352,0.0184,0,0.606,0.451,100.064,66bcngKtjufDrUcfytSlCU,205660,4,D minor
0.592,0.457,A,-6.081,minor,0.0603,0.661,3.31e-4,0.146,0.225,146.04,2ZRo7axmMPeSVUvDbGkJah,110886,4,A minor
0.676,0.777,C#,-3.241,minor,0.357,0.145,0,0.228,0.226,173.931,2r4JRwcbIeuAzWjH4YXlLs,188773,4,C# minor
0.85,0.569,F,-8.152,minor,0.136,0.0609,0.0816,0.1,0.294,80.02,7ycWLEP1GsNjVvcjawXz3z,205040,4,F minor
0.579,0.904,F,-2.729,major,0.0618,0.193,0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947,4,F major
0.557,0.571,A#,-8.106,major,0.0281,0.476,0.00114,0.101,0.392,80.981,5slddJ629YcePvqD6Uyk8r,219600,4,A# major
0.383,0.703,E,-6.988,major,0.228,0.216,5.47e-6,0.131,0.57,88.502,4pWb8UZ6IPVJA3CPjCNgzq,213939,4,E major
0.716,0.541,C#,-7.909,major,0.149,0.0021,0,0.115,0.387,139.978,2bSk87AVkCIIC3Bcligq1z,247055,4,C# major
0.448,0.826,D,-3.244,minor,0.0319,0.00756,0,0.117,0.19,77.093,1eadPrzB2P0ikQcqhKSAtv,254805,4,D minor
0.809,0.845,A#,-5.843,minor,0.352,0.224,0,0.638,0.67,90.015,5OEqC4sWkPHekzPHBHYu1N,176990,4,A# minor
0.809,0.845,A#,-5.843,minor,0.352,0.224,0,0.638,0.67,90.015,3A1BaBGT3HgzuDrV9pgX9v,176990,4,A# minor
0.687,0.842,G,-4.382,major,0.058,0.105,0,0.0436,0.778,87.968,4Vxu50qVrQcycjRyJQaZLC,190227,4,G major
0.484,0.804,F,-5.889,major,0.0912,8.37e-4,9.29e-6,0.17,0.391,119.838,3nBXOlFTADNvG9nkqy2O2W,179827,4,F major
0.741,0.61,F#,-7.34,minor,0.0512,0.315,0,0.534,0.72,125.99,2pg2TiYo9Rb8KeB5JjP7jS,276960,4,F# minor
0.586,0.909,G#,-6.474,major,0.0705,0.0891,1.09e-4,0.119,0.757,93.394,3CA9pLiwRIGtUBiMjbZmRw,210747,4,G# major
0.754,0.449,G,-9.211,major,0.109,0.0332,8.29e-5,0.552,0.357,77.169,6DCZcSspjsKoFjzjrWoCdn,198973,4,G major
0.964,0.346,F,-9.309,minor,0.53,0.035,0,0.108,0.562,119.958,6vN77lE9LK6HP2DewaN6HZ,142273,4,F minor
0.909,0.628,D,-5.456,major,0.201,0.0739,0,0.108,0.406,145.905,6n4U3TlzUGhdSFbUUhTvLP,276147,4,D major
0.599,0.448,G#,-6.312,major,0.0232,0.163,0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,3,G# major
0.82,0.568,F#,-8.23,minor,0.411,0.0256,0,0.0952,0.535,152.279,2Yl4OmDby9iitgNWZPwxkd,210787,4,F# minor
0.672,0.655,A#,-5.021,minor,0.0311,0.0362,0,0.117,0.556,134.945,6Qn5zhYkTa37e91HC1D7lb,201240,4,A# minor
0.71,0.789,E,-3.874,major,0.0722,0.0161,2.77e-6,0.451,0.717,142.929,7uzmGiiJyRfuViKKK3lVmR,131064,4,E major
0.816,0.726,F,-3.998,minor,0.129,0.099,0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390,4,F minor
0.618,0.711,F,-7.248,major,0.0706,0.0544,0,0.125,0.488,139.967,21YnmkSDhUkmkkni22Svc4,211360,4,F major
0.765,0.523,D,-4.333,major,0.03,0.184,3.56e-5,0.132,0.394,104.988,1rfofaqEpACxVEHIZBJe6W,217307,4,D major
0.876,0.519,B,-6.531,major,0.143,0.202,0,0.108,0.158,94.981,1ZAyjvIk9YiD76yYy0TEG6,175230,4,B major
0.655,0.603,G#,-5.014,major,0.0555,0.0959,0,0.107,0.452,126.088,6ZvTAJHxse3tRAekHb2F7L,190643,4,G# major
0.68,0.563,A#,-5.843,major,0.0454,0.354,0,0.136,0.374,145.028,7dt6x5M1jzdTEt8oCbisTK,231267,4,A# major
0.764,0.718,A,-5.18,minor,0.0703,0.00261,1.11e-5,0.113,0.596,116.01,1Y8tTuBW1YOFc6o2N9jLGM,212e3,4,A minor
0.75,0.404,A,-10.178,minor,0.0682,0.216,3.57e-4,0.0911,0.0499,95.045,6NFyWDv5CjfwuzoCkw47Xf,232253,4,A minor
0.511,0.566,F#,-7.23,minor,0.2,0.349,0,0.34,0.218,83.903,0s3nnoMeVWz3989MkNQiRf,239836,4,F# minor
0.741,0.798,F,-5.342,minor,0.0718,0.00781,0,0.0232,0.939,104.953,5XMkENs3GfeRza8MfVAhjK,191e3,4,F minor
0.544,0.781,F#,-6.16,minor,0.0311,0.00585,0,0.191,0.527,144.075,4gB7HrYHbJVJ5RFOjxmoq4,221800,4,F# minor
0.544,0.781,F#,-6.16,minor,0.0311,0.00585,0,0.191,0.527,144.075,7ElHqs46U65NOaSwha2eMv,221800,4,F# minor
0.375,0.574,G,-5.305,major,0.0315,0.143,0,0.11,0.406,132.025,6EGAfJaLUFzhS4zRBIEQ2J,196800,3,G major
0.809,0.845,A#,-5.843,minor,0.352,0.224,0,0.638,0.67,90.015,5OEqC4sWkPHekzPHBHYu1N,176990,4,A# minor
0.809,0.845,A#,-5.843,minor,0.352,0.224,0,0.638,0.67,90.015,3A1BaBGT3HgzuDrV9pgX9v,176990,4,A# minor
0.489,0.581,B,-5.731,major,0.0281,0.0312,0,0.132,0.494,86.016,42fw0rxRO2xbesF6mJfd4Y,196747,4,B major
0.831,0.782,C,-6.274,major,0.15,0.21,0,0.113,0.199,141.869,7yotKA30dwTKNEGomV9ZsI,191437,4,C major
0.835,0.552,G,-5.662,major,0.0871,0.0474,0,0.0767,0.531,97.004,7LOnWbR6p2YqaGDWQPP8jJ,218173,4,G major
0.671,0.529,C,-7.226,major,0.307,0.0769,3.35e-4,0.0856,0.203,161.989,0XySogm94T51XF5F2jumXm,165820,4,C major
0.752,0.505,A,-7.621,major,0.253,0.535,2.55e-6,0.104,0.419,91.97,2P91MQbaiQOfbiz9VqhqKQ,197437,4,A major
0.547,0.804,F#,-5.268,major,0.0361,0.00738,0,0.0308,0.666,142.016,0LG2cFomCi8Fb664Lvr3Nu,197053,4,F# major
0.632,0.804,G,-6.109,major,0.0503,0.101,0,0.17,0.35,92.456,6n6OQfBpCgzF9oEg8zhBN7,199625,4,G major
0.557,0.571,A#,-8.106,major,0.0281,0.476,0.00114,0.101,0.392,80.981,5slddJ629YcePvqD6Uyk8r,219600,4,A# major
0.601,0.59,D,-5.001,major,0.0569,0.186,0,0.0942,0.274,151.952,2VdT56BGpdqNHUgOe1j5vc,206453,4,D major
0.61,0.554,C,-5.501,major,0.137,0.0379,3.84e-5,0.166,0.244,159.85,3fpVWegR6YOS1Yk5HSMYIq,221787,4,C major
0.602,0.724,D,-3.469,minor,0.0352,0.0184,0,0.606,0.451,100.064,66bcngKtjufDrUcfytSlCU,205660,4,D minor
0.638,0.367,E,-7.906,major,0.0266,0.84,0,0.0999,0.219,71.957,2VIPU72L6tIR4w8J8ap6Kp,217120,4,E major
0.484,0.804,F,-5.889,major,0.0912,8.37e-4,9.29e-6,0.17,0.391,119.838,3nBXOlFTADNvG9nkqy2O2W,179827,4,F major
0.764,0.587,F,-7.002,minor,0.0298,0.0721,6.45e-6,0.094,0.494,89.98,2NEBP8SXEqwZt2PRdPXXuy,229573,4,F minor
0.491,0.907,G,-3.594,major,0.0481,0.0491,0,0.242,0.631,199.943,4LiMQ6G9n84rDUBs9wtwz6,182667,4,G major
0.811,0.646,G#,-4.902,minor,0.257,0.00271,0,0.191,0.386,77.555,5lf3ajySox32qFvGEf2TFM,173437,4,G# minor
0.716,0.541,C#,-7.909,major,0.149,0.0021,0,0.115,0.387,139.978,2bSk87AVkCIIC3Bcligq1z,247055,4,C# major
0.582,0.728,G#,-6.151,major,0.0292,0.174,0,0.139,0.537,150.013,79LAFAkR1ATb4iIQvZuCL0,221801,4,G# major
0.448,0.826,D,-3.244,minor,0.0319,0.00756,0,0.117,0.19,77.093,1eadPrzB2P0ikQcqhKSAtv,254805,4,D minor
0.479,0.468,F,-5.396,major,0.0274,0.414,0,0.148,0.35,85.913,4H7WNRErSbONkM06blBoGc,204427,4,F major
0.719,0.497,G#,-7.661,major,0.681,0.115,0,0.0898,0.345,81.651,2UciqgwVDwro0fev3MFbxJ,216727,4,G# major
0.741,0.61,F#,-7.34,minor,0.0512,0.315,0,0.534,0.72,125.99,2pg2TiYo9Rb8KeB5JjP7jS,276960,4,F# minor
0.67,0.752,C#,-4.146,major,0.0374,0.041,0,0.0749,0.442,149.961,4EAV2cKiqKP5UPZmY6dejk,204747,4,C# major
0.921,0.537,A,-5.723,minor,0.0804,0.556,0.00404,0.102,0.711,128.009,0JP9xo3adEtGSdUEISiszL,135090,4,A minor
0.718,0.767,A,-5.641,major,0.166,0.138,0,0.114,0.519,160.084,7oJrVhiTPZGBXWPwhxjy9S,156e3,4,A major
0.851,0.666,B,-5.334,minor,0.0694,0.139,0,0.105,0.0585,134.068,5PIfH6BzcmH04RDmtzF0BN,129105,4,B minor
0.851,0.666,B,-5.334,minor,0.0694,0.139,0,0.105,0.0585,134.068,3sA7HKGzcKTVscdiTCrWpX,129105,4,B minor
0.735,0.703,F#,-4.249,major,0.0611,0.2,0,0.259,0.323,120.007,5EId1m4DNwTf3at31w8bPJ,233827,4,F# major
0.586,0.909,G#,-6.474,major,0.0705,0.0891,1.09e-4,0.119,0.757,93.394,3CA9pLiwRIGtUBiMjbZmRw,210747,4,G# major
0.754,0.449,G,-9.211,major,0.109,0.0332,8.29e-5,0.552,0.357,77.169,6DCZcSspjsKoFjzjrWoCdn,198973,4,G major
0.719,0.497,G#,-7.661,major,0.681,0.115,0,0.0898,0.345,81.651,2UciqgwVDwro0fev3MFbxJ,216727,4,G# major
0.831,0.782,C,-6.274,major,0.15,0.21,0,0.113,0.199,141.869,7yotKA30dwTKNEGomV9ZsI,191437,4,C major
0.599,0.448,G#,-6.312,major,0.0232,0.163,0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,3,G# major
0.825,0.487,C#,-6.416,major,0.233,0.0299,0,0.0868,0.372,105.05,0bhnUFDQFCEHCBlsQfHnj5,218954,3,C# major
0.869,0.385,E,-7.801,major,0.297,0.135,0,0.0931,0.596,149.897,1AT4xjNarTswd0UZ5FlmKF,133922,4,E major
0.816,0.726,F,-3.998,minor,0.129,0.099,0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390,4,F minor
0.71,0.789,E,-3.874,major,0.0722,0.0161,2.77e-6,0.451,0.717,142.929,7uzmGiiJyRfuViKKK3lVmR,131064,4,E major
0.909,0.628,D,-5.456,major,0.201,0.0739,0,0.108,0.406,145.905,6n4U3TlzUGhdSFbUUhTvLP,276147,4,D major
0.876,0.519,B,-6.531,major,0.143,0.202,0,0.108,0.158,94.981,1ZAyjvIk9YiD76yYy0TEG6,175230,4,B major
0.765,0.523,D,-4.333,major,0.03,0.184,3.56e-5,0.132,0.394,104.988,1rfofaqEpACxVEHIZBJe6W,217307,4,D major
0.82,0.568,F#,-8.23,minor,0.411,0.0256,0,0.0952,0.535,152.279,2Yl4OmDby9iitgNWZPwxkd,210787,4,F# minor
0.741,0.798,F,-5.342,minor,0.0718,0.00781,0,0.0232,0.939,104.953,5XMkENs3GfeRza8MfVAhjK,191e3,4,F minor
0.672,0.655,A#,-5.021,minor,0.0311,0.0362,0,0.117,0.556,134.945,6Qn5zhYkTa37e91HC1D7lb,201240,4,A# minor
0.764,0.718,A,-5.18,minor,0.0703,0.00261,1.11e-5,0.113,0.596,116.01,1Y8tTuBW1YOFc6o2N9jLGM,212e3,4,A minor
0.618,0.711,F,-7.248,major,0.0706,0.0544,0,0.125,0.488,139.967,21YnmkSDhUkmkkni22Svc4,211360,4,F major
0.375,0.574,G,-5.305,major,0.0315,0.143,0,0.11,0.406,132.025,6EGAfJaLUFzhS4zRBIEQ2J,196800,3,G major
0.815,0.816,D,-5.474,major,0.269,0.00299,0,0.159,0.498,181.967,2UVbBKQOdFAekPTRsnkzcf,190288,4,D major
0.655,0.603,G#,-5.014,major,0.0555,0.0959,0,0.107,0.452,126.088,6ZvTAJHxse3tRAekHb2F7L,190643,4,G# major
